Name,Address,Rating,Phone,Website
Mango Spa,6835 0038,4.1,6835 0038,http://mangospasg.com/
Massage Master Pte Ltd,"341 Bedok Rd, Singapore 469522",4.3,"<span aria-label=""Call phone number 6702 0762"">6702 0762</span>",http://www.massagemaster.com.sg/
Massagez Kaki Wellness AMK,"532 Ang Mo Kio Ave 10, #01-2499 Cheng San Centre, Singapore 560532",5.0,"<span aria-label=""Call phone number 6873 0813"">6873 0813</span>",https://massagezkakiwellnessamk.business.site/?utm_source=gmb&utm_medium=referral&kWe=2ahUKEwj64YOcxd7zAhW0uksFHa-LAb04PBCBT3oFCAEQnAI
Massagez Kaki Wellness,"888 plaza, Woodlands Drive 50, 01 731B, 730888",4.9,"<span aria-label=""Call phone number 6363 0813"">6363 0813</span>",https://massagez-kaki-wellness.business.site/?utm_source=gmb&utm_medium=referral
Master of Massage,"199 Jln Besar, Singapore 208885",4.8,"<span aria-label=""Call phone number 6298 2129"">6298 2129</span>",Info is not retrievable
Mdm TCM Wellness Center (Hougang Branch),"238 Thomson Road, #03-32 Velocity, Novena Square, 307683",3.3,6929 2688,Info is not retrievable
Mei Yaa Wellness (Roxy Square) Singapore  Foot Reflexology and Body Massage,"50 East Coast Road #02-94 Roxy Square 2, Singapore 428769",4.9,"<span aria-label=""Call phone number 8875 2221"">8875 2221</span>",https://www.facebook.com/meiyaaroxy/
NING Foot & Back Massage Spa,"78 Airport Boulevard #04 - 215 / 216 Jewel, Singapore Changi Airport, 819666",4.7,"<span aria-label=""Call phone number 6612 1313"">6612 1313</span>",https://ningspa.com/
,,,,
Orchid Spa & Wellness,"Jurong East Street 31, #01-41 Block 344, Singapore 600344",3.8,6567 9328,https://www.facebook.com/OrchidSpa.Jurong/
Oriental Therapy Pte Ltd,"354 Alexandra Rd, #01-16 Alexis on, Singapore 159948",4.7,6334 1678,https://orientalthsg.com/
Precious Foot Reflexology - Massage  Tui na  Foot Massage  Gua Sha - Clementi,"443 Clementi Ave 3, #01-65, Singapore 120443",4.8,8363 4703,http://www.preciousfoot.com.sg/
Precious Foot Reflexology - Massage  Tui na  Foot Massage  Gua Sha - Toa Payoh,"177 Toa Payoh Central, #01-134, Singapore 310177",4.7,"<span aria-label=""Call phone number 6354 1911"">6354 1911</span>",http://www.preciousfoot.com.sg/
Pure Foot Relaxology Pte Ltd,"207 Lavender St., Singapore 338765",4.8,6298 2930,http://www.purerelaxology.com/
Sabaai Sabaai Traditional Thai Massage,"49A Boat Quay, Singapore 049838",4.7,"<span aria-label=""Call phone number 9337 3715"">9337 3715</span>",http://www.sabaaisabaai.com/
Sante Express Foot Spa (Pek Kio),"Blk 44 Owen Rd, #01-303, Singapore 210044",5.0,9137 1655,https://sante-express.business.site/?utm_source=gmb&utm_medium=referral
Sante Wellness Pte Ltd,"Hougang Avenue 1 #01-1452, Block 124, 530124",4.9,"<span aria-label=""Call phone number 9798 6726"">9798 6726</span>",https://www.santewellness.online/
Sensual Massage,"62A Temple St, Singapore 058607",3.6,6227 5488,Info is not retrievable
Silk Massage Spa,"89 Jln Sultan, 01-01, Singapore 199018",4.0,6292 1189,http://www.silkmassagespa.com.sg/
Soul Massage Singapore (Orchard) - Home Massage Service,"321 Orchard Rd, Singapore 238836",4.3,"<span aria-label=""Call phone number 8695 3378"">8695 3378</span>",https://soul-massage-singapore.business.site/?utm_source=gmb&utm_medium=referral
Soul Massage,"4 Opal Cres, Singapore 328399",4.7,"<span aria-label=""Call phone number 6291 6583"">6291 6583</span>",https://www.soulmassage.sg/
Spa Royale,"201 Hougang Street 21, #01-13, Singapore 530201",4.7,6518 4628,https://www.facebook.com/sparoyale201/
Starry Traditional Massage,Info is not retrievable,,Info is not retrievable,Info is not retrievable
SUNSHINE BEAUTY SPA,"BLK208 #01-673, New Upper Changi Rd, 460208",1.5,6245 6396,http://sunshinebeautyspa.com.sg/
Tao Yuan Spa,"531 Balestier Rd, Singapore 329858",4.2,"<span aria-label=""Call phone number 6256 2329"">6256 2329</span>",https://taoyuan-spa.business.site/?utm_source=gmb&utm_medium=referral
TD Spa ~ Traditional Thai Massage,"122 Bedok North Street 2, #01-132, Singapore 460122",4.4,"<span aria-label=""Call phone number 6445 0466"">6445 0466</span>",https://www.tdspacompany.com/
The Male Therapist - Male Massage Singapore,"190 Clemenceau Avenue #04-15, Singapore Shopping Centre, 239924",4.4,"<span aria-label=""Call phone number 6334 4525"">6334 4525</span>",http://www.themaletherapist.com/
The Outcall Spa,"73 Ubi Road 1 #06-58 Oxley Bizhub, 408733",4.8,"<span aria-label=""Call phone number 8782 0561"">8782 0561</span>",https://www.theoutcallspa.com/
Tree House Spa,"238 River Valley Rd, Singapore 238296",4.7,"<span aria-label=""Call phone number 6235 6233"">6235 6233</span>",https://treehousespa.com.sg/
Urban Spa,"5 Coleman Street, Peninsula.Excelsior Hotel #03-09, Excelsior Shopping Centre, 179805",4.8,"<span aria-label=""Call phone number 6337 6377"">6337 6377</span>",http://www.urbanspa.sg/
Wan Lin Healthcare Centre,"149 Rochor Road #02-07/13/14/15/16/17 Fu Lu Shou Complex, 188425",4.7,"<span aria-label=""Call phone number 6338 1355"">6338 1355</span>",https://www.wanlinhealthcare.com/
Wil Essentials Foot Reflexology & Body Massage,"#01-316 Elias Rd, Blk 625 Elias Mall, Singapore 510625",4.8,"<span aria-label=""Call phone number 6970 0239"">6970 0239</span>",https://wil-essentials-foot-reflexology-body-massage.business.site/?m=true
Wink Wax Wellness,"99A Tg Pagar Rd, Level 2, Singapore 088520",4.9,"<span aria-label=""Call phone number 6536 8785"">6536 8785</span>",http://www.winkwax.com/
Xiaoxi Deep Tissue Massage Centre,"144, Upper Bukit Timah Road, #02-31, Beauty World Centre, 588177",4.3,6778 2098,Info is not retrievable
Xin Hao Foot Reflexology & Massage,"Bishan Street 11, #01-426 Block 505, Singapore 572505",4.9,"<span aria-label=""Call phone number 9740 1205"">9740 1205</span>",http://www.facebook.com/xinhaofootreflex
Xpress Foot Wellness @ Sengkang Mrt Station  Foot Reflexology  Massage,"5 Sengkang Square, #02-02, Singapore 545062",3.9,8866 0202,http://www.xpressfoot.com.sg/
Xpress Foot Wellness Punggol  Foot Reflexology,"681 Punggol Dr., #04-09 Oasis Terraces, Singapore 820681",3.8,8868 0202,http://www.xpressfoot.com.sg/
Xpress Massage 脚底按摩 @ Sengkang Rivervale Plaza,"118 Rivervale Drive, #01-09 Rivervale Plaza, 540118",4.1,"<span aria-label=""Call phone number 6635 2785"">6635 2785</span>",Info is not retrievable
Yue Yuan Beauty Spa,"805 North Bridge Rd, Singapore 198773",3.7,"<span aria-label=""Call phone number 6298 2326"">6298 2326</span>",https://www.facebook.com/YUEYUANSPA/
ZU LE YUAN HEALTHCARE MASSAGE,"201B Tampines St. 21, #01-1079, Singapore 522201",4.5,"<span aria-label=""Call phone number 6588 1312"">6588 1312</span>",Info is not retrievable
水玲珑 SPELLSPA,"278 Lavender St, Singapore 338799",4.4,"<span aria-label=""Call phone number 6396 8008"">6396 8008</span>",http://spellspa.sg/
